Metric Name,DeepSeek Summary Claim,Verified Value,Status,Explanation / Evidence
"Total Products Imported (CSV)","2,156","2,156","Verified","catalogue-products.csv contains 2,156 product rows."
"SKU Range","RS-000002 to RS-0002156","RS-000002 to RS-0002644","Disproved / Explained","Initial CSV had 2,156 items starting at RS-000002 (RS-000001 consumed in test). Additional imports expanded range to RS-0002644."
"Parsed PDF Rows","2,169","2,169","Verified","pdf_raw_lines.json contains 2,169 parsed rows from WS RATES.pdf."
"Matched Products (PDF to CSV)","1,784","1,784","Verified","RS-Database-Updated-v2.xlsx matched 1,784 rows exactly/fuzzy."
"CSV-Only Products","372","372","Verified","372 products in CSV had no corresponding PDF match."
"PDF-Extra Products","385","385","Verified","385 rows in WS RATES.pdf had no corresponding CSV match (2156 + 385 = 2541)."
"Negative Extraction Artifacts","2","2","Verified","MR 1 DAIRY (-214215) and GATTA DAY BOOK NO 100 (-23811) caused by PDF layout wrapping."
"Zero Cost Products","26","26","Verified","26 rows in PDF had 0 or unparseable cost values."
"Inserted Buying Prices","1,189","1,189","Verified","1,189 buying prices inserted into product_prices table."
"Total Database Products","2,643","2,643","Verified","2,643 products in Supabase dev DB (2541 + 102 split/unmerged rows)."
"Total Packaging Records","2,634","2,634","Verified","2,634 packaging rows in dev DB. 9 products lack packaging."
"Total Wholesale Prices","2,605","2,605","Verified","2,605 wholesale prices in dev DB. 29 packaging rows lack wholesale price."
"Categories Count","87","87","Verified","87 active categories in database."
